potid,speciesid,colour,longestleaflength_cm,loglongestleaflength_cm,height_cm,logheight_cm,num_leaves,lognum_leaves,observer,date,sampledate,graphdate,shadetreatment,invasiontreatment,season,treatment
2,hempnettle,blue,1.5,0.176091259,1.5,0.176091259,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,maple,yellow,2.3,0.361727836,2.3,0.361727836,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,maple,green,2.5,0.397940009,2.5,0.397940009,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,maple,blue,2.3,0.361727836,2.3,0.361727836,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,troutlily,red,1.5,0.176091259,,,,,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,troutlily,blue,1.5,0.176091259,,,,,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
2,troutlily,yellow,0.3,-0.522878745,,,,,cathy,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
3,avens,yellow,1,0,0.1,-1,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,avens,blue,0.5,-0.301029996,0.2,-0.698970004,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,bindweed,red,1.5,0.176091259,1.2,0.079181246,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,hempnettle,red,3.5,0.544068044,2.5,0.397940009,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,hempnettle,green,3,0.477121255,1,0,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,hempnettle,yellow,2,0.301029996,1.5,0.176091259,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,maple,red,0.3,-0.522878745,1.3,0.113943352,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,troutlily,blue,4.5,0.653212514,,,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,troutlily,green,3.5,0.544068044,,,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
3,troutlily,yellow,5.2,0.716003344,,,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
4,bindweed,red,1.5,0.176091259,2.5,0.397940009,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
4,bindweed,yellow,0.5,-0.301029996,1.5,0.176091259,1,0,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
4,dandelion,blue,3,0.477121255,0.1,-1,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
4,hempnettle,yellow,3.7,0.568201724,1,0,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
4,hempnettle,red,4,0.602059991,1.5,0.176091259,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
4,hempnettle,blue,2.7,0.431363764,0.7,-0.15490196,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
4,troutlily,yellow,5.5,0.740362689,,,,,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
4,troutlily,red,3.5,0.544068044,,,,,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
4,troutlily,green,3.5,0.544068044,,,,,cathy,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
5,avens,blue,0.8,-0.096910013,0.8,-0.096910013,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,bindweed,red,1.1,0.041392685,0.8,-0.096910013,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,hempnettle,red,2,0.301029996,0.8,-0.096910013,4,0.602059991,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,hempnettle,blue,2.1,0.322219295,0.6,-0.22184875,4,0.602059991,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,hempnettle,yellow,2,0.301029996,0.9,-0.045757491,4,0.602059991,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,maple,yellow,1.3,0.113943352,2.3,0.361727836,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,maple,blue,1.7,0.230448921,2.3,0.361727836,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,maple,red,2.5,0.397940009,2.7,0.431363764,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,troutlily,yellow,3.6,0.556302501,,,,,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,troutlily,blue,4,0.602059991,,,,,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
5,troutlily,green,4.5,0.653212514,,,,,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
6,bindweed,yellow,1.5,0.176091259,1.3,0.113943352,1,0,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,commonplantain,yellow,1,0,,,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,commonplantain,blue,1,0,,,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,commonplantain,red,1,0,,,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,hempnettle,blue,2.3,0.361727836,1.4,0.146128036,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,hempnettle,red,2.4,0.380211242,1.4,0.146128036,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,hempnettle,green,1.7,0.230448921,1.3,0.113943352,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,maple,blue,1,0,2.3,0.361727836,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,troutlily,yellow,3.8,0.579783597,,,,,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,troutlily,red,6,0.77815125,,,,,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
6,troutlily,green,3.5,0.544068044,,,,,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
7,avens,yellow,0.7,-0.15490196,1.4,0.146128036,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,avens,green,0.5,-0.301029996,0.1,-1,1,0,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,bindweed,yellow,2.2,0.342422681,0.2,-0.698970004,1,0,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,bindweed,red,0.9,-0.045757491,0.5,-0.301029996,1,0,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,bindweed,blue,1.2,0.079181246,1,0,1,0,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,hempnettle,red,1.5,0.176091259,1,0,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,hempnettle,green,1.6,0.204119983,1.5,0.176091259,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,troutlily,red,7.3,0.86332286,,,,,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,troutlily,blue,2.3,0.361727836,,,,,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
7,troutlily,green,3.6,0.556302501,,,,,david,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
8,avens,red,0.5,-0.301029996,0.3,-0.522878745,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,avens,green,0.7,-0.15490196,0.3,-0.522878745,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,bindweed,yellow,0.4,-0.397940009,0.2,-0.698970004,1,0,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,dandelion,blue,4.1,0.612783857,,,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,hempnettle,red,2.3,0.361727836,0.5,-0.301029996,4,0.602059991,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,hempnettle,blue,2.5,0.397940009,0.5,-0.301029996,4,0.602059991,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,hempnettle,yellow,2.1,0.322219295,0.9,-0.045757491,4,0.602059991,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,maple,green,2.8,0.447158031,3.4,0.531478917,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,maple,blue,1.4,0.146128036,1.7,0.230448921,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,troutlily,red,4.6,0.662757832,,,,,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,troutlily,yellow,3.7,0.568201724,,,,,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
8,troutlily,green,4,0.602059991,,,,,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
9,avens,blue,0.3,-0.522878745,1,0,1,0,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,avens,red,0.1,-1,0.3,-0.522878745,1,0,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,dandelion,yellow,0.1,-1,2,0.301029996,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,dandelion,red,0.1,-1,1.7,0.230448921,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,hempnettle,green,2,0.301029996,2,0.301029996,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,hempnettle,yellow,2.5,0.397940009,2,0.301029996,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,hempnettle,red,2,0.301029996,2,0.301029996,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,troutlily,yellow,4,0.602059991,,,,,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,troutlily,blue,6.5,0.812913357,,,,,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
9,troutlily,red,3.5,0.544068044,,,,,cathy,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
22,bindweed,green,1.1,0.041392685,0.2,-0.698970004,1,0,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,bindweed,yellow,1,0,0.6,-0.22184875,1,0,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,bindweed,blue,1,0,0.5,-0.301029996,1,0,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,commonplantain,green,0.9,-0.045757491,0,,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,hempnettle,yellow,3.5,0.544068044,1.7,0.230448921,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,hempnettle,green,3.6,0.556302501,1.5,0.176091259,6,0.77815125,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,hempnettle,blue,2.6,0.414973348,1.3,0.113943352,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,maple,blue,2.4,0.380211242,2.8,0.447158031,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,troutlily,yellow,,,3.2,0.505149978,,,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,troutlily,blue,,,4.9,0.69019608,,,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
22,troutlily,red,,,3,0.477121255,,,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
23,avens,yellow,0.7,-0.15490196,0.6,-0.22184875,1,0,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,avens,red,0.8,-0.096910013,0.8,-0.096910013,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,avens,green,0.6,-0.22184875,0.3,-0.522878745,1,0,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,bindweed,red,1.2,0.079181246,0.6,-0.22184875,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,bindweed,green,0.4,-0.397940009,0.2,-0.698970004,1,0,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,bindweed,yellow,1.6,0.204119983,0.3,-0.522878745,1,0,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,commonplantain,red,0.5,-0.301029996,0,,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,commonplantain,yellow,0.3,-0.522878745,0.1,-1,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,commonplantain,blue,0.6,-0.22184875,0.1,-1,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,hempnettle,green,2.1,0.322219295,0.9,-0.045757491,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,hempnettle,blue,1.9,0.278753601,1.3,0.113943352,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,hempnettle,red,1.5,0.176091259,1.7,0.230448921,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,maple,green,1.9,0.278753601,3.2,0.505149978,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,maple,red,1.8,0.255272505,4.1,0.612783857,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,maple,blue,2.1,0.322219295,2.5,0.397940009,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,troutlily,red,,,5.1,0.707570176,,,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,troutlily,blue,,,2.5,0.397940009,,,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
23,troutlily,yellow,,,4.1,0.612783857,,,cathy,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
24,avens,green,1.1,0.041392685,0.4,-0.397940009,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,commonplantain,red,0.6,-0.22184875,0.3,-0.522878745,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,commonplantain,yellow,0.5,-0.301029996,0.1,-1,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,commonplantain,blue,0.3,-0.522878745,0.1,-1,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,hempnettle,red,4.8,0.681241237,3.5,0.544068044,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,hempnettle,yellow,2.1,0.322219295,2.1,0.322219295,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,hempnettle,blue,3.7,0.568201724,3.7,0.568201724,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,maple,blue,1.2,0.079181246,1.2,0.079181246,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,maple,red,1.8,0.255272505,1.8,0.255272505,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,maple,green,0.7,-0.15490196,0.7,-0.15490196,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,troutlily,red,,,2.5,0.397940009,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,troutlily,blue,,,4.9,0.69019608,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
24,troutlily,green,,,4.9,0.69019608,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,commonplantain,blue,0.5,-0.301029996,0.1,-1,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,commonplantain,green,0.3,-0.522878745,0.2,-0.698970004,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,hempnettle,green,1.8,0.255272505,3.1,0.491361694,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,hempnettle,yellow,2.2,0.342422681,1.5,0.176091259,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,hempnettle,blue,2.2,0.342422681,1.5,0.176091259,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,maple,blue,1.4,0.146128036,2,0.301029996,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,maple,yellow,1,0,0.3,-0.522878745,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,maple,green,1,0,0.4,-0.397940009,1,0,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,troutlily,red,,,4.9,0.69019608,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,troutlily,blue,,,6,0.77815125,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
25,troutlily,green,,,6.3,0.799340549,,,cathy,5/24/2023,5/24/2023,24-May,early,invaded,early,earlyinvaded
26,avens,blue,,,0.6,-0.22184875,1,0,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,avens,yellow,,,0.5,-0.301029996,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,commonplantain,yellow,,,0.1,-1,4,0.602059991,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,hempnettle,nocolour,,,1.6,0.204119983,10,1,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,hempnettle,green,,,1.1,0.041392685,6,0.77815125,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,hempnettle,red,,,2.5,0.397940009,10,1,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,maple,green,,,3,0.477121255,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,maple,red,,,2.4,0.380211242,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,maple,blue,,,2.9,0.462397998,2,0.301029996,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,troutlily,red,,,3.3,0.51851394,,,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,troutlily,blue,,,5.1,0.707570176,,,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
26,troutlily,green,,,5.6,0.748188027,,,cathy,5/24/2023,5/24/2023,24-May,normal,invaded,early,normalinvaded
27,bindweed,blue,1,0,0.4,-0.397940009,1,0,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,bindweed,green,1.4,0.146128036,0.7,-0.15490196,2,0.301029996,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,bindweed,yellow,0.9,-0.045757491,0.3,-0.522878745,1,0,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,hempnettle,yellow,1.4,0.146128036,1,0,4,0.602059991,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,hempnettle,blue,1.8,0.255272505,0.6,-0.22184875,4,0.602059991,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,hempnettle,green,1.5,0.176091259,0.3,-0.522878745,4,0.602059991,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,maple,yellow,2.5,0.397940009,3.9,0.591064607,4,0.602059991,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,troutlily,red,4.1,0.612783857,,,,,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,troutlily,green,2.2,0.342422681,,,,,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
27,troutlily,yellow,1.9,0.278753601,,,,,david,5/24/2023,5/24/2023,24-May,normal,uninvaded,early,normaluninvaded
28,avens,yellow,0.5,-0.301029996,0.4,-0.397940009,1,0,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,avens,blue,0.6,-0.22184875,0.8,-0.096910013,1,0,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,hempnettle,blue,1.6,0.204119983,2.2,0.342422681,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,hempnettle,red,1.6,0.204119983,3.5,0.544068044,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,hempnettle,yellow,1.7,0.230448921,2.1,0.322219295,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,maple,red,1.5,0.176091259,2.6,0.414973348,1,0,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,maple,blue,0.4,-0.397940009,1.2,0.079181246,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,maple,green,1,0,2.4,0.380211242,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,maple,yellow,1,0,1.3,0.113943352,2,0.301029996,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,troutlily,green,1.7,0.230448921,,,,,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,troutlily,blue,2,0.301029996,,,,,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
28,troutlily,red,3.5,0.544068044,,,,,david,5/24/2023,5/24/2023,24-May,early,uninvaded,early,earlyuninvaded
29,avens,red,0.7,-0.15490196,0.3,-0.522878745,1,0,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,dandelion,yellow,4.2,0.62324929,,,4,0.602059991,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,hempnettle,red,3.8,0.579783597,1.3,0.113943352,10,1,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,hempnettle,yellow,4.6,0.662757832,2.3,0.361727836,12,1.079181246,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,hempnettle,blue,2.5,0.397940009,2,0.301029996,4,0.602059991,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,maple,blue,1,0,2.2,0.342422681,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,maple,yellow,1.7,0.230448921,2.6,0.414973348,2,0.301029996,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,troutlily,yellow,3.6,0.556302501,,,,,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,troutlily,red,2.4,0.380211242,,,,,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
29,troutlily,blue,3.9,0.591064607,,,,,david,5/24/2023,5/24/2023,24-May,control,invaded,early,controlinvaded
30,bindweed,yellow,0.9,-0.045757491,0.6,-0.22184875,1,0,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
30,bindweed,blue,1,0,0.4,-0.397940009,1,0,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
30,bindweed,red,1.3,0.113943352,0.7,-0.15490196,1,0,david,5/24/2023,5/24/2023,24-May,control,uninvaded,early,controluninvaded
